id,sis_course_id,course_code,name
39998,C.Campus.2019.Spring.ED 200.7,ED 200,Teaching as a Profession
40000,C.Campus.2019.Spring.FDENG 301.6,FDENG 301,Advanced Writing and Research
40002,C.Campus.2019.Spring.COMM 240.2,COMM 240,Newsgathering Prin & Practices
40004,C.Campus.2019.Spring.AS 247.2,AS 247,Animal Handling and Behavior
40006,C.Campus.2019.Spring.ED 200.8,ED 200,Teaching as a Profession
40008,C.Campus.2019.Spring.FDENG 301.7,FDENG 301,Advanced Writing and Research
40010,C.Campus.2019.Spring.AS 247.3,AS 247,Animal Handling and Behavior
40012,C.Campus.2019.Spring.COMM 322.1,COMM 322,Dig Media Analytics/Strategy
40014,C.Campus.2019.Spring.ED 200.9,ED 200,Teaching as a Profession
40016,C.Campus.2019.Spring.FDENG 301.8,FDENG 301,Advanced Writing and Research
40018,C.Campus.2019.Spring.AUTO 131L.1,AUTO 131L,Electrical Systems Lab
40020,C.Campus.2019.Spring.COMM 322.2,COMM 322,Dig Media Analytics/Strategy
40022,C.Campus.2019.Spring.ED LAB.1,ED LAB,Open Lab for Ed Dept
40024,C.Campus.2019.Spring.FDENG 301.9,FDENG 301,Advanced Writing and Research
40026,C.Campus.2019.Spring.AUTO 131L.2,AUTO 131L,Electrical Systems Lab
40028,C.Campus.2019.Spring.COMM 360.1,COMM 360,Video Journalism
40030,C.Campus.2019.Spring.ENG 102R.1,ENG 102R,Read Assist & Textbook Comp
40032,C.Campus.2019.Spring.FDENG 301.10,FDENG 301,Advanced Writing and Research
40034,C.Campus.2019.Spring.AUTO 131L.3,AUTO 131L,Electrical Systems Lab
40036,C.Campus.2019.Spring.COMM 420.1,COMM 420,Digital & Social Media Campaigns
40038,C.Campus.2019.Spring.ENG 102R.2,ENG 102R,Read Assist & Textbook Comp
40040,C.Campus.2019.Spring.FDENG 301.11,FDENG 301,Advanced Writing and Research
40042,C.Campus.2019.Spring.AUTO 481L.1,AUTO 481L,Drivability & Diagnostics Lab
40044,C.Campus.2019.Spring.CONST 285.1,CONST 285,Construction Estimating
40046,C.Campus.2019.Spring.ENG 321.1,ENG 321,Tech for Professional Writers
40048,C.Campus.2019.Spring.FDENG 301.12,FDENG 301,Advanced Writing and Research
40050,C.Campus.2019.Spring.CS 246.1,CS 246,Software Design and Development
40052,C.Campus.2019.Spring.ENG 352.1,ENG 352,Poetry
40054,C.Campus.2019.Spring.FDENG 301.13,FDENG 301,Advanced Writing and Research
40056,C.Campus.2019.Spring.CS 246.2,CS 246,Software Design and Development
40058,C.Campus.2019.Spring.ENG 430.1,ENG 430,Teach Eng in Secondary Schools
40060,C.Campus.2019.Spring.FDENG 301.14,FDENG 301,Advanced Writing and Research
40062,C.Campus.2019.Spring.ENG 430.2,ENG 430,Teach Eng in Secondary Schools
40064,C.Campus.2019.Spring.CS 246.3,CS 246,Software Design and Development
40066,C.Campus.2019.Spring.FDENG 301.15,FDENG 301,Advanced Writing and Research
40068,C.Campus.2019.Spring.ESS 101.1,ESS 101,Water Aerobics
40070,C.Campus.2019.Spring.FDENG 301.16,FDENG 301,Advanced Writing and Research
40072,C.Campus.2019.Spring.FDENG 301.17,FDENG 301,Advanced Writing and Research
40074,C.Campus.2019.Spring.FDENG 301.18,FDENG 301,Advanced Writing and Research
40076,C.Campus.2019.Spring.FDENG 301.19,FDENG 301,Advanced Writing and Research
40078,C.Campus.2019.Spring.FDENG 301.20,FDENG 301,Advanced Writing and Research
40080,C.Campus.2019.Spring.FDENG 301.21,FDENG 301,Advanced Writing and Research
40082,C.Campus.2019.Spring.FDENG 301.22,FDENG 301,Advanced Writing and Research
40084,C.Campus.2019.Spring.FDENG 301.23,FDENG 301,Advanced Writing and Research
40086,C.Campus.2019.Spring.FDENG 301.24,FDENG 301,Advanced Writing and Research
40088,C.Campus.2019.Spring.FDENG 301.25,FDENG 301,Advanced Writing and Research
40090,C.Campus.2019.Spring.FDENG 301.26,FDENG 301,Advanced Writing and Research
40092,C.Campus.2019.Spring.FDSCI 208.1,FDSCI 208,Introduction to Robotics
40094,C.Campus.2019.Spring.FDWLD 201.1,FDWLD 201,World Foundations II
40098,C.Campus.2019.Spring.FDWLD 201.3,FDWLD 201,World Foundations II
40100,C.Campus.2019.Spring.FDENG 301.27,FDENG 301,Advanced Writing and Research
40102,C.Campus.2019.Spring.FDWLD 201.4,FDWLD 201,World Foundations II
40104,C.Campus.2019.Spring.FIN 401.1,FIN 401,Advanced Financial Management
40106,C.Campus.2019.Spring.FDENG 301.28,FDENG 301,Advanced Writing and Research
40108,C.Campus.2019.Spring.FDENG 301.29,FDENG 301,Advanced Writing and Research
40110,C.Campus.2019.Spring.FIN 401.2,FIN 401,Advanced Financial Management
40112,C.Campus.2019.Spring.FDENG 301.58,FDENG 301,Advanced Writing and Research
40114,C.Campus.2019.Spring.FIN 401.3,FIN 401,Advanced Financial Management
40116,C.Campus.2019.Spring.FDENG 301.30,FDENG 301,Advanced Writing and Research
40118,C.Campus.2019.Spring.FDENG 301.89,FDENG 301,Advanced Writing and Research
40120,C.Campus.2019.Spring.FIN 411.1,FIN 411,Advanced Financial Modeling
40122,C.Campus.2019.Spring.FDENG 301.31,FDENG 301,Advanced Writing and Research
40124,C.Campus.2019.Spring.FIN 411.2,FIN 411,Advanced Financial Modeling
40126,C.Campus.2019.Spring.FDENG 301.90,FDENG 301,Advanced Writing and Research
40128,C.Campus.2019.Spring.FR 400.1,FR 400,French Civilization and Culture
40130,C.Campus.2019.Spring.FDENG 301.32,FDENG 301,Advanced Writing and Research
40132,C.Campus.2019.Spring.FR 490.1,FR 490,Independent Study in French
40134,C.Campus.2019.Spring.FDENG 301.91,FDENG 301,Advanced Writing and Research
40136,C.Campus.2019.Spring.FDENG 301.33,FDENG 301,Advanced Writing and Research
40138,C.Campus.2019.Spring.GEOG 101.1,GEOG 101,Introduction Physical Geography
40140,C.Campus.2019.Spring.FDENG 301.92,FDENG 301,Advanced Writing and Research
40142,C.Campus.2019.Spring.GEOG 101.2,GEOG 101,Introduction Physical Geography
40144,C.Campus.2019.Spring.FDENG 301.34,FDENG 301,Advanced Writing and Research
40146,C.Campus.2019.Spring.FDENG 301.93,FDENG 301,Advanced Writing and Research
40148,C.Campus.2019.Spring.GEOG 240.1,GEOG 240,Maps & Remote Sensing
40150,C.Campus.2019.Spring.FDENG 301.35,FDENG 301,Advanced Writing and Research
40152,C.Campus.2019.Spring.FDENG 301.94,FDENG 301,Advanced Writing and Research
40154,C.Campus.2019.Spring.GEOL 111L.1,GEOL 111L,Physical Geology Lab
40156,C.Campus.2019.Spring.FDENG 301.36,FDENG 301,Advanced Writing and Research
40158,C.Campus.2019.Spring.FDENG 301.95,FDENG 301,Advanced Writing and Research
40160,C.Campus.2019.Spring.GEOL 111L.2,GEOL 111L,Physical Geology Lab
40162,C.Campus.2019.Spring.FDENG 301.37,FDENG 301,Advanced Writing and Research
40164,C.Campus.2019.Spring.FDENG 301.96,FDENG 301,Advanced Writing and Research
40166,C.Campus.2019.Spring.GEOL 111L.3,GEOL 111L,Physical Geology Lab
40168,C.Campus.2019.Spring.FDENG 301.38,FDENG 301,Advanced Writing and Research
40170,C.Campus.2019.Spring.FDENG 301.97,FDENG 301,Advanced Writing and Research
40172,C.Campus.2019.Spring.GREEK 101.1,GREEK 101,Ancient Greek I
40174,C.Campus.2019.Spring.FDENG 301.39,FDENG 301,Advanced Writing and Research
40176,C.Campus.2019.Spring.FDENG 301.98,FDENG 301,Advanced Writing and Research
40178,C.Campus.2019.Spring.HORT 325.1,HORT 325,Interiorscaping
40180,C.Campus.2019.Spring.FDENG 301.40,FDENG 301,Advanced Writing and Research
40182,C.Campus.2019.Spring.FDENG 301.99,FDENG 301,Advanced Writing and Research
40184,C.Campus.2019.Spring.HRHP 369.1,HRHP 369,Applied Kines and Assessment
40186,C.Campus.2019.Spring.FDENG 301.41,FDENG 301,Advanced Writing and Research
40188,C.Campus.2019.Spring.FDINT 211.1,FDINT 211,Global Hotspot: Pakistan
40190,C.Campus.2019.Spring.HS 378.1,HS 378,Healthcare Strategy
40192,C.Campus.2019.Spring.FDENG 301.42,FDENG 301,Advanced Writing and Research
40194,C.Campus.2019.Spring.FDINT 211.2,FDINT 211,Global Hotspot: Pakistan
40196,C.Campus.2019.Spring.HS 390.1,HS 390,Program Planning/Implementation
40198,C.Campus.2019.Spring.FDENG 301.43,FDENG 301,Advanced Writing and Research
40200,C.Campus.2019.Spring.FDREL 211.1,FDREL 211,New Testament
40202,C.Campus.2019.Spring.HS 390.2,HS 390,Program Planning/Implementation
40204,C.Campus.2019.Spring.FDENG 301.44,FDENG 301,Advanced Writing and Research
40206,C.Campus.2019.Spring.FDREL 211.2,FDREL 211,New Testament
40208,C.Campus.2019.Spring.HS 420.1,HS 420,Health Behavior Theories/Models
40210,C.Campus.2019.Spring.FDENG 301.45,FDENG 301,Advanced Writing and Research
40212,C.Campus.2019.Spring.FDREL 211.3,FDREL 211,New Testament
40214,C.Campus.2019.Spring.HS 499R.1,HS 499R,Health Science Practicum
40216,C.Campus.2019.Spring.FDENG 301.46,FDENG 301,Advanced Writing and Research
40218,C.Campus.2019.Spring.FDREL 211.4,FDREL 211,New Testament
40220,C.Campus.2019.Spring.HS 499R.2,HS 499R,Health Science Practicum
40222,C.Campus.2019.Spring.FDENG 301.47,FDENG 301,Advanced Writing and Research
40224,C.Campus.2019.Spring.FDREL 211.5,FDREL 211,New Testament
40226,C.Campus.2019.Spring.HS 499R.3,HS 499R,Health Science Practicum
40228,C.Campus.2019.Spring.FDENG 301.48,FDENG 301,Advanced Writing and Research
40230,C.Campus.2019.Spring.FDREL 211.6,FDREL 211,New Testament
40232,C.Campus.2019.Spring.MATH 110X.1,MATH 110X,College Algebra
40234,C.Campus.2019.Spring.FDENG 301.49,FDENG 301,Advanced Writing and Research
40236,C.Campus.2019.Spring.FDREL 211.7,FDREL 211,New Testament
40238,C.Campus.2019.Spring.MATH 110X.2,MATH 110X,College Algebra
40240,C.Campus.2019.Spring.FDENG 301.50,FDENG 301,Advanced Writing and Research
40242,C.Campus.2019.Spring.FDREL 211.8,FDREL 211,New Testament
40244,C.Campus.2019.Spring.MATH 110X.3,MATH 110X,College Algebra
40246,C.Campus.2019.Spring.FDENG 301.51,FDENG 301,Advanced Writing and Research
40250,C.Campus.2019.Spring.FDENG 301.52,FDENG 301,Advanced Writing and Research
40252,C.Campus.2019.Spring.FDREL 211.10,FDREL 211,New Testament
40254,C.Campus.2019.Spring.FDENG 301.53,FDENG 301,Advanced Writing and Research
40256,C.Campus.2019.Spring.FDREL 211.11,FDREL 211,New Testament
40258,C.Campus.2019.Spring.FDENG 301.54,FDENG 301,Advanced Writing and Research
40260,C.Campus.2019.Spring.FDREL 327.1,FDREL 327,Pearl of Great Price
40262,C.Campus.2019.Spring.FDENG 301.55,FDENG 301,Advanced Writing and Research
40264,C.Campus.2019.Spring.FDREL 327.2,FDREL 327,Pearl of Great Price
40266,C.Campus.2019.Spring.FDENG 301.56,FDENG 301,Advanced Writing and Research
40268,C.Campus.2019.Spring.FDREL 327.3,FDREL 327,Pearl of Great Price
40270,C.Campus.2019.Spring.FDENG 301.57,FDENG 301,Advanced Writing and Research
40272,C.Campus.2019.Spring.FDREL 327.4,FDREL 327,Pearl of Great Price
40274,C.Campus.2019.Spring.FDREL 327.5,FDREL 327,Pearl of Great Price
40276,C.Campus.2019.Spring.MATH 110X.4,MATH 110X,College Algebra
40278,C.Campus.2019.Spring.FDSCI 200.1,FDSCI 200,Energy in the 21st Century
40280,C.Campus.2019.Spring.FDSCI 200.2,FDSCI 200,Energy in the 21st Century
40282,C.Campus.2019.Spring.MATH 110X.5,MATH 110X,College Algebra
40284,C.Campus.2019.Spring.MATH 110X.6,MATH 110X,College Algebra
40286,C.Campus.2019.Spring.MATH 110X.7,MATH 110X,College Algebra
40288,C.Campus.2019.Spring.MATH 110X.8,MATH 110X,College Algebra
40290,C.Campus.2019.Spring.MUSIC 160Z.1,MUSIC 160Z,Music Lessons - Jazz Piano I
40292,C.Campus.2019.Spring.MATH 113.1,MATH 113,Calculus II
40294,C.Campus.2019.Spring.MATH 113.2,MATH 113,Calculus II
40296,C.Campus.2019.Spring.MUSIC 260G.1,MUSIC 260G,Music Lessons - Cello III
40298,C.Campus.2019.Spring.MATH 205.1,MATH 205,Fundamentals of Number Theory
40300,C.Campus.2019.Spring.MUSIC 261E.1,MUSIC 261E,Music Lessons - Violin IV
40302,C.Campus.2019.Spring.MATH 205.2,MATH 205,Fundamentals of Number Theory
40304,C.Campus.2019.Spring.MUSIC 299.1,MUSIC 299,Basic Audio Engineering
40306,C.Campus.2019.Spring.MATH 205.3,MATH 205,Fundamentals of Number Theory
40308,C.Campus.2019.Spring.MUSIC 317.1,MUSIC 317,Opera Workshop
40310,C.Campus.2019.Spring.MATH 205.4,MATH 205,Fundamentals of Number Theory
40312,C.Campus.2019.Spring.MUSIC 360J.1,MUSIC 360J,Music Lessons - Flute V
40314,C.Campus.2019.Spring.MUSIC 361O.1,MUSIC 361O,Music Lessons - Trumpet VI
40316,C.Campus.2019.Spring.MATH 205.5,MATH 205,Fundamentals of Number Theory
40318,C.Campus.2019.Spring.MUSIC 361P.1,MUSIC 361P,Music Lessons - French Horn VI
40320,C.Campus.2019.Spring.MATH 215.1,MATH 215,Multivariable Calculus
40322,C.Campus.2019.Spring.MUSIC 361R.1,MUSIC 361R,Music Lessons - Euphonium VI
40324,C.Campus.2019.Spring.MATH 215.2,MATH 215,Multivariable Calculus
40326,C.Campus.2019.Spring.RM 320.1,RM 320,Program and Event Management
40328,C.Campus.2019.Spring.MUSIC 365A.1,MUSIC 365A,Junior Recital Piano
40330,C.Campus.2019.Spring.MATH 215.3,MATH 215,Multivariable Calculus
40332,C.Campus.2019.Spring.MUSIC 365E.1,MUSIC 365E,Junior Recital Violin
40334,C.Campus.2019.Spring.MATH 215.4,MATH 215,Multivariable Calculus
40336,C.Campus.2019.Spring.RM 370.1,RM 370,Therapeutic Recreation: Intro
40338,C.Campus.2019.Spring.MUSIC 365T.1,MUSIC 365T,Junior Recital Percussion
40340,C.Campus.2019.Spring.MATH 221B.1,MATH 221B,Biostatistics
40342,C.Campus.2019.Spring.RUSS 342.1,RUSS 342,Russian Culture
40344,C.Campus.2019.Spring.MUSIC 460C.1,MUSIC 460C,Music Lessons - Harp VII
40346,C.Campus.2019.Spring.MATH 221B.2,MATH 221B,Biostatistics
40348,C.Campus.2019.Spring.SOC 311.1,SOC 311,Sociology of the Family
40350,C.Campus.2019.Spring.MUSIC 460Z.1,MUSIC 460Z,Music Lessons - Jazz Piano VII
40352,C.Campus.2019.Spring.MATH 221B.3,MATH 221B,Biostatistics
40354,C.Campus.2019.Spring.MUSIC 462M.1,MUSIC 462M,Senior Recital Clarinet
40356,C.Campus.2019.Spring.SOC 340.1,SOC 340,Research Methods
40358,C.Campus.2019.Spring.MATH 221B.4,MATH 221B,Biostatistics
40360,C.Campus.2019.Spring.NURS 320.1,NURS 320,Physical Assessment
40362,C.Campus.2019.Spring.SOC 370.1,SOC 370,Social Stratification
40364,C.Campus.2019.Spring.NURS 320.2,NURS 320,Physical Assessment
40366,C.Campus.2019.Spring.MATH 221B.5,MATH 221B,Biostatistics
40368,C.Campus.2019.Spring.NURS 322.1,NURS 322,Adult Health I
40370,C.Campus.2019.Spring.SOC 411.1,SOC 411,Global Conflicts and Terrorism
40372,C.Campus.2019.Spring.MATH 221B.6,MATH 221B,Biostatistics
40374,C.Campus.2019.Spring.NURS 322.2,NURS 322,Adult Health I
40376,C.Campus.2019.Spring.SPAN 377.1,SPAN 377,Spanish Teaching Methods
40378,C.Campus.2019.Spring.MATH 326.1,MATH 326,Experimental Design
40380,C.Campus.2019.Spring.NURS 410.1,NURS 410,Maternal Child Nursing
40382,C.Campus.2019.Spring.MKT 325.1,MKT 325,Professional Selling
40384,C.Campus.2019.Spring.ACCTG 301.1,ACCTG 301,Intermediate Financial Acctg I
40386,C.Campus.2019.Spring.NURS 410.2,NURS 410,Maternal Child Nursing
40388,C.Campus.2019.Spring.MKT 352.1,MKT 352,Digital Marketing Strategy
40390,C.Campus.2019.Spring.ACCTG 301.2,ACCTG 301,Intermediate Financial Acctg I
40392,C.Campus.2019.Spring.NURS 433C.1,NURS 433C,Pop. Health Nursing Clinical
40394,C.Campus.2019.Spring.MKT 426.1,MKT 426,Sales Technologies
40396,C.Campus.2019.Spring.PH 279.1,PH 279,Modern Physics
40398,C.Campus.2019.Spring.ACCTG 301.3,ACCTG 301,Intermediate Financial Acctg I
40400,C.Campus.2019.Spring.MUSIC 102.1,MUSIC 102,Music in Western Civilization
40402,C.Campus.2019.Spring.PH 295.1,PH 295,Math and Computational Method
40404,C.Campus.2019.Spring.ACCTG 321.1,ACCTG 321,Income Taxation I
40406,C.Campus.2019.Spring.MUSIC 102.2,MUSIC 102,Music in Western Civilization
40408,C.Campus.2019.Spring.POLSC 206.1,POLSC 206,Intro to Secondary Methods
40410,C.Campus.2019.Spring.ACCTG 321.2,ACCTG 321,Income Taxation I
40412,C.Campus.2019.Spring.MUSIC 158H.1,MUSIC 158H,Music Lessons - String Bass
40414,C.Campus.2019.Spring.POLSC 350.1,POLSC 350,Ancient Political Theory
40416,C.Campus.2019.Spring.ACCTG 440.1,ACCTG 440,International Accounting
40418,C.Campus.2019.Spring.MUSIC 160O.1,MUSIC 160O,Music Lessons - Trumpet I
40420,C.Campus.2019.Spring.PSYCH 361.1,PSYCH 361,Principles of Behavioral
40422,C.Campus.2019.Spring.ACCTG 499.1,ACCTG 499,Accounting Capstone
40424,C.Campus.2019.Spring.MUSIC 160P.1,MUSIC 160P,Music Lessons - French Horn I
40426,C.Campus.2019.Spring.PSYCH 361.2,PSYCH 361,Principles of Behavioral
40428,C.Campus.2019.Spring.ACCTG 499.2,ACCTG 499,Accounting Capstone
40430,C.Campus.2019.Spring.PTA 205.1,PTA 205,Therapeutic Procedures 2
40432,C.Campus.2019.Spring.AGBUS 100.1,AGBUS 100,Agriculture Orientation
40434,C.Campus.2019.Spring.RM 224C.1,RM 224C,Canoeing
40436,C.Campus.2019.Spring.AGRON 430.1,AGRON 430,Soil Taxonomy and Genesis
40438,C.Campus.2019.Spring.RM 301.1,RM 301,Family Recreation
40440,C.Campus.2019.Spring.AGRON 435.1,AGRON 435,Crop Science
40442,C.Campus.2019.Spring.APS 123.1,APS 123,Intro to Plant Science Lab
40444,C.Campus.2019.Spring.APS 123.2,APS 123,Intro to Plant Science Lab
40446,C.Campus.2019.Spring.FDENG 301.59,FDENG 301,Advanced Writing and Research
40448,C.Campus.2019.Spring.ARCH 285.1,ARCH 285,Presentation Graphics II
40450,C.Campus.2019.Spring.FDENG 301.60,FDENG 301,Advanced Writing and Research
40452,C.Campus.2019.Spring.FDENG 301.61,FDENG 301,Advanced Writing and Research
